ID,Strain
mouse:154,A/J
mouse:155,A/J
mouse:156,PL/J
mouse:157,C57L/J
mouse:158,C57L/J
mouse:159,C57L/J
mouse:160,C57L/J
mouse:161,C57L/J
mouse:162,C57L/J
mouse:163,MRL/MpJ
mouse:164,MRL/MpJ
mouse:165,MRL/MpJ
mouse:166,AKR/J
mouse:167,MRL/MpJ
mouse:168,AKR/J
mouse:169,AKR/J
mouse:170,CBA/J
mouse:171,AKR/J
mouse:172,C57L/J
mouse:173,AKR/J
mouse:174,C57L/J
mouse:175,AKR/J
mouse:176,MRL/MpJ
mouse:177,MRL/MpJ
mouse:178,MRL/MpJ
mouse:179,MRL/MpJ
mouse:180,MRL/MpJ
mouse:181,MRL/MpJ
mouse:182,CBA/J
mouse:183,CBA/J
mouse:184,CBA/J
mouse:185,A/J
mouse:186,C57L/J
mouse:187,A/J
mouse:188,C57L/J
mouse:189,SJL/J
mouse:190,C57L/J
mouse:191,C57L/J
mouse:192,SJL/J
mouse:193,SJL/J
mouse:194,FVB/NJ
mouse:195,FVB/NJ
mouse:196,SJL/J
mouse:197,FVB/NJ
mouse:198,FVB/NJ
mouse:199,A/J
mouse:200,A/J
mouse:201,MRL/MpJ
mouse:202,C57L/J
mouse:203,C57L/J
mouse:204,C57L/J
mouse:205,C57L/J
mouse:206,C57L/J
mouse:207,C57L/J
mouse:208,C57L/J
mouse:209,C57L/J
mouse:210,C57L/J
mouse:211,MRL/MpJ
mouse:212,MRL/MpJ
mouse:213,FVB/NJ
mouse:214,SJL/J
mouse:215,MRL/MpJ
mouse:216,MRL/MpJ
mouse:217,BALB/cByJ
mouse:218,BALB/cByJ
mouse:219,LP/J
mouse:220,LP/J
mouse:221,LP/J
mouse:222,BALB/cByJ
mouse:223,BALB/cByJ
mouse:224,BALB/cByJ
mouse:225,BALB/cByJ
mouse:226,BTBR T<+> tf/J
mouse:227,MRL/MpJ
mouse:228,MRL/MpJ
mouse:229,LP/J
mouse:230,LP/J
mouse:231,LP/J
mouse:232,BALB/cByJ
mouse:233,BALB/cByJ
mouse:234,BALB/cByJ
mouse:235,BALB/cByJ
mouse:236,LP/J
mouse:237,PL/J
mouse:238,PL/J
mouse:239,C57L/J
mouse:240,C57L/J
mouse:241,C57L/J
mouse:242,C57L/J
mouse:243,C57L/J
mouse:244,C57L/J
mouse:245,C57L/J
mouse:246,C57L/J
mouse:247,C57L/J
mouse:248,PL/J
mouse:249,PL/J
mouse:250,BTBR T<+> tf/J
mouse:251,BTBR T<+> tf/J
mouse:252,BTBR T<+> tf/J
mouse:253,BTBR T<+> tf/J
mouse:254,WSB/EiJ
mouse:255,WSB/EiJ
mouse:256,WSB/EiJ
mouse:257,SJL/J
mouse:258,WSB/EiJ
mouse:259,SJL/J
mouse:260,SJL/J
mouse:261,BTBR T<+> tf/J
mouse:262,SJL/J
mouse:263,BTBR T<+> tf/J
mouse:264,SJL/J
mouse:265,BTBR T<+> tf/J
mouse:266,SJL/J
mouse:267,BTBR T<+> tf/J
mouse:268,BTBR T<+> tf/J
mouse:269,SJL/J
mouse:270,C3H/HeJ
mouse:271,SJL/J
mouse:272,C3H/HeJ
mouse:273,C57BR/cdJ
mouse:274,C57BR/cdJ
mouse:275,DBA/2J
mouse:276,DBA/2J
mouse:277,C3H/HeJ
mouse:278,C3H/HeJ
mouse:279,C3H/HeJ
mouse:280,C3H/HeJ
mouse:281,C3H/HeJ
mouse:282,CBA/J
mouse:283,CBA/J
mouse:284,CBA/J
mouse:285,CBA/J
mouse:286,CBA/J
mouse:287,BALB/cByJ
mouse:288,BALB/cByJ
mouse:289,BALB/cByJ
mouse:290,BALB/cByJ
mouse:291,BTBR T<+> tf/J
mouse:292,BTBR T<+> tf/J
mouse:293,BTBR T<+> tf/J
mouse:294,BTBR T<+> tf/J
mouse:295,BTBR T<+> tf/J
mouse:296,CBA/J
mouse:297,CBA/J
mouse:298,LP/J
mouse:299,LP/J
mouse:300,MRL/MpJ
mouse:301,LP/J
mouse:302,MRL/MpJ
mouse:303,CBA/J
mouse:304,PL/J
mouse:305,SJL/J
mouse:306,PL/J
mouse:307,MRL/MpJ
mouse:308,PL/J
mouse:309,MRL/MpJ
mouse:310,PL/J
mouse:311,MRL/MpJ
mouse:312,PL/J
mouse:313,SJL/J
mouse:314,PL/J
mouse:315,C57BL/10J
mouse:316,C57BL/10J
mouse:317,C57BL/10J
mouse:318,LP/J
mouse:319,LP/J
mouse:320,LP/J
mouse:321,LP/J
mouse:322,SJL/J
mouse:323,SJL/J
mouse:324,SJL/J
mouse:325,SJL/J
mouse:326,SJL/J
mouse:327,C57BL/10J
mouse:328,C57BL/10J
mouse:329,C57BL/10J
mouse:330,C57BL/10J
mouse:331,C57BL/10J
mouse:332,C57BL/6J
mouse:333,C57BL/6J
mouse:334,C57BL/6J
mouse:335,C57BL/6J
mouse:336,C57BL/6J
mouse:337,C57BL/6J
mouse:338,C57BL/6J
mouse:339,C57BL/6J
mouse:340,NZW/LacJ
mouse:341,NZW/LacJ
mouse:342,NZW/LacJ
mouse:343,NZW/LacJ
mouse:344,NZW/LacJ
mouse:345,BTBR T<+> tf/J
mouse:346,BTBR T<+> tf/J
mouse:347,BTBR T<+> tf/J
mouse:348,C3H/HeJ
mouse:349,C3H/HeJ
mouse:350,C3H/HeJ
mouse:351,C3H/HeJ
mouse:352,C57BL/10J
mouse:353,C57BL/10J
mouse:354,P/J
mouse:355,P/J
mouse:356,C57BR/cdJ
mouse:357,C57BR/cdJ
mouse:358,C57BR/cdJ
mouse:359,C57BR/cdJ
mouse:360,C57BL/6J
mouse:361,C57BL/6J
mouse:362,C57BL/6J
mouse:363,C57BL/6J
mouse:364,C57BL/6J
mouse:365,C57BR/cdJ
mouse:366,C57BR/cdJ
mouse:367,C57BR/cdJ
mouse:368,C57BR/cdJ
mouse:369,C57BR/cdJ
mouse:370,C57BR/cdJ
mouse:371,C57BR/cdJ
mouse:372,C3H/HeJ
mouse:373,C3H/HeJ
mouse:374,C3H/HeJ
mouse:375,PL/J
mouse:376,PL/J
mouse:377,PL/J
mouse:378,PL/J
mouse:379,PL/J
mouse:380,C57BL/6J
mouse:381,PL/J
mouse:382,C57BL/6J
mouse:383,C3H/HeJ
mouse:384,C3H/HeJ
mouse:385,C3H/HeJ
mouse:386,C3H/HeJ
mouse:387,C3H/HeJ
mouse:388,C3H/HeJ
mouse:389,C3H/HeJ
mouse:390,C3H/HeJ
mouse:391,C3H/HeJ
mouse:392,C57BL/6J
mouse:393,C57BL/6J
mouse:394,C57BL/6J
mouse:395,C57BL/6J
mouse:396,C57BL/6J
mouse:397,C57BL/6J
mouse:398,C57BL/6J
mouse:399,C57BL/6J
mouse:400,C57BL/6J
mouse:401,C57BL/6J
mouse:402,RIIIS/J
mouse:403,RIIIS/J
mouse:404,SJL/J
mouse:405,SJL/J
mouse:406,SJL/J
mouse:407,NZW/LacJ
mouse:408,NZW/LacJ
mouse:409,NZW/LacJ
mouse:410,NZW/LacJ
mouse:411,C57BR/cdJ
mouse:412,C57BR/cdJ
mouse:413,C57BR/cdJ
mouse:414,C57BR/cdJ
mouse:415,C57BR/cdJ
mouse:416,C57BR/cdJ
mouse:417,C57BR/cdJ
mouse:418,C57BR/cdJ
mouse:419,C57BR/cdJ
mouse:420,C57BR/cdJ
mouse:421,C57BR/cdJ
mouse:422,C57BR/cdJ
mouse:423,C57BR/cdJ
mouse:424,C57BR/cdJ
mouse:425,C57BR/cdJ
mouse:426,C57BR/cdJ
mouse:427,CBA/J
mouse:428,CBA/J
mouse:429,CBA/J
mouse:430,CBA/J
mouse:431,CBA/J
mouse:432,CBA/J
mouse:433,CBA/J
mouse:434,CBA/J
mouse:435,BTBR T<+> tf/J
mouse:436,BTBR T<+> tf/J
mouse:437,SJL/J
mouse:438,A/J
mouse:439,A/J
mouse:440,SJL/J
mouse:441,RIIIS/J
mouse:442,RIIIS/J
mouse:443,RIIIS/J
mouse:444,RIIIS/J
mouse:445,C57BLKS/J
mouse:446,C57BLKS/J
mouse:447,C57BLKS/J
mouse:448,C57BLKS/J
mouse:449,C57BLKS/J
mouse:450,C57BLKS/J
mouse:451,C57BLKS/J
mouse:452,C57BLKS/J
mouse:453,C57BLKS/J
mouse:454,C57BLKS/J
mouse:455,RIIIS/J
mouse:456,WSB/EiJ
mouse:457,MRL/MpJ
mouse:458,WSB/EiJ
mouse:459,MRL/MpJ
mouse:460,C57BLKS/J
mouse:461,MRL/MpJ
mouse:462,C57BLKS/J
mouse:463,MRL/MpJ
mouse:464,C57BLKS/J
mouse:465,C57BLKS/J
mouse:466,MRL/MpJ
mouse:467,MRL/MpJ
mouse:468,LP/J
mouse:469,LP/J
mouse:470,BALB/cByJ
mouse:471,LP/J
mouse:472,LP/J
mouse:473,A/J
mouse:474,C57BL/6J
mouse:475,C57BL/6J
mouse:476,C57BL/6J
mouse:477,C57BL/6J
mouse:478,C57BL/6J
mouse:479,MRL/MpJ
mouse:480,MRL/MpJ
mouse:481,MRL/MpJ
mouse:482,MRL/MpJ
mouse:483,MRL/MpJ
mouse:484,MRL/MpJ
mouse:485,MRL/MpJ
mouse:486,MRL/MpJ
mouse:487,MRL/MpJ
mouse:488,MRL/MpJ
mouse:489,MRL/MpJ
mouse:490,MRL/MpJ
mouse:491,MRL/MpJ
mouse:492,FVB/NJ
mouse:493,BTBR T<+> tf/J
mouse:494,BUB/BnJ
mouse:495,BUB/BnJ
mouse:496,BUB/BnJ
mouse:497,BUB/BnJ
mouse:498,C57BL/10J
mouse:499,C57BL/10J
mouse:500,SM/J
mouse:501,SM/J
mouse:502,SM/J
mouse:503,SM/J
mouse:504,SM/J
mouse:505,SM/J
mouse:506,RIIIS/J
mouse:507,RIIIS/J
mouse:508,RIIIS/J
mouse:509,RIIIS/J
mouse:510,A/J
mouse:511,A/J
mouse:512,RIIIS/J
mouse:513,MRL/MpJ
mouse:514,C57BL/10J
mouse:515,C57BL/10J
mouse:516,C57BL/10J
mouse:517,DBA/2J
mouse:518,DBA/2J
mouse:519,A/J
mouse:520,DBA/2J
mouse:521,C57BLKS/J
mouse:522,C57BLKS/J
mouse:523,C57BLKS/J
mouse:524,A/J
mouse:525,C57BLKS/J
mouse:526,A/J
mouse:527,C57BLKS/J
mouse:528,RIIIS/J
mouse:529,RIIIS/J
mouse:530,RIIIS/J
mouse:531,RIIIS/J
mouse:532,RIIIS/J
mouse:533,PL/J
mouse:534,DBA/2J
mouse:535,DBA/2J
mouse:536,DBA/2J
mouse:537,DBA/2J
mouse:538,DBA/2J
mouse:539,DBA/2J
mouse:540,DBA/2J
mouse:541,DBA/2J
mouse:542,DBA/2J
mouse:543,CBA/J
mouse:544,129S1/SvImJ
mouse:545,129S1/SvImJ
mouse:546,129S1/SvImJ
mouse:547,129S1/SvImJ
mouse:548,129S1/SvImJ
mouse:549,129S1/SvImJ
mouse:550,BTBR T<+> tf/J
mouse:551,BTBR T<+> tf/J
mouse:552,P/J
mouse:553,DBA/2J
mouse:554,DBA/2J
mouse:555,DBA/2J
mouse:556,129S1/SvImJ
mouse:557,129S1/SvImJ
mouse:558,129S1/SvImJ
mouse:559,129S1/SvImJ
mouse:560,SJL/J
mouse:561,SJL/J
mouse:562,SJL/J
mouse:563,SJL/J
mouse:564,SJL/J
mouse:565,BUB/BnJ
mouse:566,BUB/BnJ
mouse:567,BUB/BnJ
mouse:568,BUB/BnJ
mouse:569,BUB/BnJ
mouse:570,C57BL/10J
mouse:571,C57BL/10J
mouse:572,C57BL/10J
mouse:573,C57BL/10J
mouse:574,C57BL/10J
mouse:575,C57BL/10J
mouse:576,C57BL/10J
mouse:577,C57BL/10J
mouse:578,C57BL/10J
mouse:579,C57BL/10J
mouse:580,C57BL/10J
mouse:581,C57BL/10J
mouse:582,C57BL/10J
mouse:583,C57BL/10J
mouse:584,BALB/cByJ
mouse:585,SWR/J
mouse:586,MRL/MpJ
mouse:587,A/J
mouse:588,NOD.B10Sn-H2<b>/J
mouse:589,NOD.B10Sn-H2<b>/J
mouse:590,NOD.B10Sn-H2<b>/J
mouse:591,NOD.B10Sn-H2<b>/J
mouse:592,BUB/BnJ
mouse:593,BUB/BnJ
mouse:594,FVB/NJ
mouse:595,FVB/NJ
mouse:596,DBA/2J
mouse:597,DBA/2J
mouse:598,DBA/2J
mouse:599,DBA/2J
mouse:600,C57BLKS/J
mouse:601,C57BLKS/J
mouse:602,C57BLKS/J
mouse:603,C57BLKS/J
mouse:604,C57BLKS/J
mouse:605,C57BLKS/J
mouse:606,C57BLKS/J
mouse:607,C57BLKS/J
mouse:608,NZW/LacJ
mouse:609,NZW/LacJ
mouse:610,NZW/LacJ
mouse:611,NZW/LacJ
mouse:612,NZW/LacJ
mouse:613,NZW/LacJ
mouse:614,SM/J
mouse:615,SM/J
mouse:616,SM/J
mouse:617,SM/J
mouse:618,SM/J
mouse:619,SM/J
mouse:620,SM/J
mouse:621,SM/J
mouse:622,NOD.B10Sn-H2<b>/J
mouse:623,NOD.B10Sn-H2<b>/J
mouse:624,NOD.B10Sn-H2<b>/J
mouse:625,NOD.B10Sn-H2<b>/J
mouse:626,WSB/EiJ
mouse:627,WSB/EiJ
mouse:628,NON/ShiLtJ
mouse:629,NON/ShiLtJ
mouse:630,NON/ShiLtJ
mouse:631,NON/ShiLtJ
mouse:632,NON/ShiLtJ
mouse:633,NZO/H1LtJ
mouse:634,NZO/H1LtJ
mouse:635,NZO/H1LtJ
mouse:636,NZO/H1LtJ
mouse:637,NZO/H1LtJ
mouse:638,SM/J
mouse:639,SM/J
mouse:640,SM/J
mouse:641,129S1/SvImJ
mouse:642,129S1/SvImJ
mouse:643,129S1/SvImJ
mouse:644,129S1/SvImJ
mouse:645,129S1/SvImJ
mouse:646,C57BR/cdJ
mouse:647,FVB/NJ
mouse:648,FVB/NJ
mouse:649,FVB/NJ
mouse:650,BTBR T<+> tf/J
mouse:651,BTBR T<+> tf/J
mouse:652,BTBR T<+> tf/J
mouse:653,BTBR T<+> tf/J
mouse:654,BTBR T<+> tf/J
mouse:655,NON/ShiLtJ
mouse:656,NON/ShiLtJ
mouse:657,NON/ShiLtJ
mouse:658,NON/ShiLtJ
mouse:659,NON/ShiLtJ
mouse:660,NON/ShiLtJ
mouse:661,NON/ShiLtJ
mouse:662,NON/ShiLtJ
mouse:663,NON/ShiLtJ
mouse:664,NON/ShiLtJ
mouse:665,NON/ShiLtJ
mouse:666,NON/ShiLtJ
mouse:667,NON/ShiLtJ
mouse:668,BUB/BnJ
mouse:669,BUB/BnJ
mouse:670,BUB/BnJ
mouse:671,BUB/BnJ
mouse:672,C57BLKS/J
mouse:673,BUB/BnJ
mouse:674,BUB/BnJ
mouse:675,FVB/NJ
mouse:676,FVB/NJ
mouse:677,FVB/NJ
mouse:678,FVB/NJ
mouse:679,FVB/NJ
mouse:680,NZO/H1LtJ
mouse:681,A/J
mouse:682,NZO/H1LtJ
mouse:683,A/J
mouse:684,NZO/H1LtJ
mouse:685,A/J
mouse:686,NZO/H1LtJ
mouse:687,A/J
mouse:688,NOD.B10Sn-H2<b>/J
mouse:689,A/J
mouse:690,NOD.B10Sn-H2<b>/J
mouse:691,A/J
mouse:692,NOD.B10Sn-H2<b>/J
mouse:693,A/J
mouse:694,RIIIS/J
mouse:695,A/J
mouse:696,RIIIS/J
mouse:697,A/J
mouse:698,BALB/cByJ
mouse:699,RIIIS/J
mouse:700,BALB/cByJ
mouse:701,RIIIS/J
mouse:702,BALB/cByJ
mouse:703,RIIIS/J
mouse:704,BALB/cByJ
mouse:705,RIIIS/J
mouse:706,BALB/cByJ
mouse:707,RIIIS/J
mouse:708,BALB/cByJ
mouse:709,RIIIS/J
mouse:710,BALB/cByJ
mouse:711,RIIIS/J
mouse:712,BALB/cByJ
mouse:713,NOD.B10Sn-H2<b>/J
mouse:714,BALB/cByJ
mouse:715,NOD.B10Sn-H2<b>/J
mouse:716,BALB/cByJ
mouse:717,SM/J
mouse:718,BALB/cByJ
mouse:719,SM/J
mouse:720,BALB/cByJ
mouse:721,SM/J
mouse:722,BALB/cByJ
mouse:723,SM/J
mouse:724,BALB/cByJ
mouse:725,SM/J
mouse:726,BALB/cByJ
mouse:727,SM/J
mouse:728,SM/J
mouse:729,A/J
mouse:730,SM/J
mouse:731,SM/J
mouse:732,A/J
mouse:733,SM/J
mouse:734,A/J
mouse:735,A/J
mouse:736,A/J
mouse:737,MRL/MpJ
mouse:738,A/J
mouse:739,MRL/MpJ
mouse:740,CAST/EiJ
mouse:741,MRL/MpJ
mouse:742,BTBR T<+> tf/J
mouse:743,MRL/MpJ
mouse:744,MRL/MpJ
mouse:745,BTBR T<+> tf/J
mouse:746,PWD/PhJ
mouse:747,PWD/PhJ
mouse:748,PWD/PhJ
mouse:749,PWD/PhJ
mouse:750,PWD/PhJ
mouse:751,PWD/PhJ
mouse:752,WSB/EiJ
mouse:753,WSB/EiJ
mouse:754,WSB/EiJ
mouse:755,PL/J
mouse:756,PL/J
mouse:757,PL/J
mouse:758,NZW/LacJ
mouse:759,NZW/LacJ
mouse:760,NZW/LacJ
mouse:761,NZW/LacJ
mouse:762,NZW/LacJ
mouse:763,NZW/LacJ
mouse:764,NZW/LacJ
mouse:765,KK/HlJ
mouse:766,KK/HlJ
mouse:767,KK/HlJ
mouse:768,WSB/EiJ
mouse:769,WSB/EiJ
mouse:770,WSB/EiJ
mouse:771,DBA/2J
mouse:772,DBA/2J
mouse:773,DBA/2J
mouse:774,DBA/2J
mouse:775,LP/J
mouse:776,LP/J
mouse:777,LP/J
mouse:778,LP/J
mouse:779,LP/J
mouse:780,LP/J
mouse:781,LP/J
mouse:782,BUB/BnJ
mouse:783,BUB/BnJ
mouse:784,KK/HlJ
mouse:785,KK/HlJ
mouse:786,KK/HlJ
mouse:787,KK/HlJ
mouse:788,KK/HlJ
mouse:789,KK/HlJ
mouse:790,KK/HlJ
mouse:791,KK/HlJ
mouse:792,SM/J
mouse:793,BALB/cByJ
mouse:794,BALB/cByJ
mouse:795,DBA/2J
mouse:796,BALB/cByJ
mouse:797,DBA/2J
mouse:798,NZW/LacJ
mouse:799,LP/J
mouse:800,SJL/J
mouse:801,NOD.B10Sn-H2<b>/J
mouse:802,NOD.B10Sn-H2<b>/J
mouse:803,SWR/J
mouse:804,SWR/J
mouse:805,SWR/J
mouse:806,SWR/J
mouse:807,SWR/J
mouse:808,SWR/J
mouse:809,KK/HlJ
mouse:810,KK/HlJ
mouse:811,KK/HlJ
mouse:812,KK/HlJ
mouse:813,SWR/J
mouse:814,BTBR T<+> tf/J
mouse:815,BTBR T<+> tf/J
mouse:816,BTBR T<+> tf/J
mouse:817,BTBR T<+> tf/J
mouse:818,PWD/PhJ
mouse:819,PWD/PhJ
mouse:820,PWD/PhJ
mouse:821,WSB/EiJ
mouse:822,WSB/EiJ
mouse:823,WSB/EiJ
mouse:824,129S1/SvImJ
mouse:825,129S1/SvImJ
mouse:826,129S1/SvImJ
mouse:827,129S1/SvImJ
mouse:828,129S1/SvImJ
mouse:829,129S1/SvImJ
mouse:830,129S1/SvImJ
mouse:831,129S1/SvImJ
mouse:832,129S1/SvImJ
mouse:833,129S1/SvImJ
mouse:834,BUB/BnJ
mouse:835,BUB/BnJ
mouse:836,BUB/BnJ
mouse:837,BUB/BnJ
mouse:838,SM/J
mouse:839,NZO/H1LtJ
mouse:840,NZO/H1LtJ
mouse:841,NZO/H1LtJ
mouse:842,NZO/H1LtJ
mouse:843,LP/J
mouse:844,LP/J
mouse:845,LP/J
mouse:846,LP/J
mouse:847,LP/J
mouse:848,C57BL/6J
mouse:849,NOD.B10Sn-H2<b>/J
mouse:850,C57BLKS/J
mouse:851,SM/J
mouse:852,129S1/SvImJ
mouse:853,129S1/SvImJ
mouse:854,129S1/SvImJ
mouse:855,129S1/SvImJ
mouse:856,129S1/SvImJ
mouse:857,KK/HlJ
mouse:858,KK/HlJ
mouse:859,KK/HlJ
mouse:860,NZO/H1LtJ
mouse:861,NZO/H1LtJ
mouse:862,NZO/H1LtJ
mouse:863,NZO/H1LtJ
mouse:864,WSB/EiJ
mouse:865,WSB/EiJ
mouse:866,WSB/EiJ
mouse:867,WSB/EiJ
mouse:868,WSB/EiJ
mouse:869,RIIIS/J
mouse:870,RIIIS/J
mouse:871,RIIIS/J
mouse:872,PL/J
mouse:873,PL/J
mouse:874,PL/J
mouse:875,PL/J
mouse:876,NOD.B10Sn-H2<b>/J
mouse:877,NOD.B10Sn-H2<b>/J
mouse:878,NOD.B10Sn-H2<b>/J
mouse:879,NOD.B10Sn-H2<b>/J
mouse:880,PWD/PhJ
mouse:881,PWD/PhJ
mouse:882,PWD/PhJ
mouse:883,PWD/PhJ
mouse:884,PWD/PhJ
mouse:885,PWD/PhJ
mouse:886,PWD/PhJ
mouse:887,PWD/PhJ
mouse:888,SWR/J
mouse:889,SWR/J
mouse:890,SWR/J
mouse:891,SWR/J
mouse:892,SWR/J
mouse:893,SWR/J
mouse:894,SWR/J
mouse:895,SWR/J
mouse:896,NZW/LacJ
mouse:897,NZW/LacJ
mouse:898,NZW/LacJ
mouse:899,NZW/LacJ
mouse:900,C57BLKS/J
mouse:901,DBA/2J
mouse:902,C3H/HeJ
mouse:903,SJL/J
mouse:904,A/J
mouse:905,A/J
mouse:906,CBA/J
mouse:907,CBA/J
mouse:908,C57BL/10J
mouse:909,DBA/2J
mouse:910,SWR/J
mouse:911,FVB/NJ
mouse:912,C3H/HeJ
mouse:913,NON/ShiLtJ
mouse:914,NON/ShiLtJ
mouse:915,NON/ShiLtJ
mouse:916,NON/ShiLtJ
mouse:917,NON/ShiLtJ
mouse:918,NOD.B10Sn-H2<b>/J
mouse:919,NOD.B10Sn-H2<b>/J
mouse:920,NOD.B10Sn-H2<b>/J
mouse:921,NOD.B10Sn-H2<b>/J
mouse:922,NOD.B10Sn-H2<b>/J
mouse:923,NOD.B10Sn-H2<b>/J
mouse:924,WSB/EiJ
mouse:925,PWD/PhJ
mouse:926,PWD/PhJ
mouse:927,PWD/PhJ
mouse:928,PWD/PhJ
mouse:929,PWD/PhJ
mouse:930,PWD/PhJ
mouse:931,PWD/PhJ
mouse:932,PWD/PhJ
mouse:933,KK/HlJ
mouse:934,KK/HlJ
mouse:935,KK/HlJ
mouse:936,KK/HlJ
mouse:937,NON/ShiLtJ
mouse:938,NON/ShiLtJ
mouse:939,NON/ShiLtJ
mouse:940,NON/ShiLtJ
mouse:941,NON/ShiLtJ
mouse:942,KK/HlJ
mouse:943,KK/HlJ
mouse:944,KK/HlJ
mouse:945,NOD.B10Sn-H2<b>/J
mouse:946,NOD.B10Sn-H2<b>/J
mouse:947,NOD.B10Sn-H2<b>/J
mouse:948,NOD.B10Sn-H2<b>/J
mouse:949,SWR/J
mouse:950,SWR/J
mouse:951,SWR/J
mouse:952,SWR/J
mouse:953,SWR/J
mouse:954,NZW/LacJ
mouse:955,NZW/LacJ
mouse:956,NZW/LacJ
mouse:957,NOD.B10Sn-H2<b>/J
mouse:958,NOD.B10Sn-H2<b>/J
mouse:959,NOD.B10Sn-H2<b>/J
mouse:960,WSB/EiJ
mouse:961,WSB/EiJ
mouse:962,WSB/EiJ
mouse:963,KK/HlJ
mouse:964,KK/HlJ
mouse:965,PWD/PhJ
mouse:966,PWD/PhJ
mouse:967,NOD.B10Sn-H2<b>/J
mouse:968,NOD.B10Sn-H2<b>/J
mouse:969,NOD.B10Sn-H2<b>/J
mouse:970,NOD.B10Sn-H2<b>/J
mouse:971,C3H/HeJ
mouse:972,A/J
mouse:973,C57L/J
mouse:974,C3H/HeJ
mouse:975,SJL/J
mouse:976,CBA/J
mouse:977,SJL/J
mouse:978,BTBR T<+> tf/J
mouse:979,C3H/HeJ
mouse:980,SWR/J
mouse:981,SWR/J
mouse:982,C57BL/10J
mouse:983,SJL/J
mouse:984,A/J
mouse:985,A/J
mouse:986,DBA/2J
mouse:987,BALB/cByJ
mouse:988,BALB/cByJ
mouse:989,SWR/J
mouse:990,BALB/cByJ
mouse:991,RIIIS/J
mouse:992,BALB/cByJ
